sample_index,id,rule,repo,file,lineno,label,rationale
1,895d4c706757ebc1,implicit-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/attacks/attack_simulator/attack_simulator.py,301,FALSE_POSITIVE,"Handler is `if ignore_errors: return [...] else: raise`; both branches terminate, so no implicit-None fall-through exists. Detector lacks exhaustive-branch analysis."
2,b4a6afde9b7fb63e,implicit-fallback,fickling,paper/corpus/fickling-0.1.12/fickling/polyglot.py,150,FALSE_POSITIVE,Outer handler's last statement is a nested try whose success and except paths both `return`; every path terminates. No fall-through.
3,c42fff23894335f9,implicit-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/model/_providers/grok.py,324,FALSE_POSITIVE,if/elif/else over grpc status codes: every branch returns or re-raises (including the inner `if handled: ... else: raise`). No implicit-None path.
4,abd0e43bd8284b8a,implicit-fallback,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/_output.py,388,FALSE_POSITIVE,`if wrap_validation_errors: raise ToolRetryError(...) else: raise` - both branches raise. No implicit-None path.
5,f4b740e74f500eba,masked-exception,garak,paper/corpus/garak-0.16.0/garak/generators/llm.py,91,CONTRACT,"Return type is `Union[Message,None]` and the handler logs the failure; ModelError is re-raised as backoff trigger. Declared optional + logged."
6,11ab256d7658c1e8,no-action,deepteam,paper/corpus/deepteam-1.0.9/deepteam/__init__.py,52,CONTRACT,PyPI version-check best-effort; both handlers carry comments stating intent. No value returned by the function.
7,42a92f976fc6854f,no-action,fickling,paper/corpus/fickling-0.1.12/fickling/polyglot.py,315,CONTRACT,Explicit comment 'Graceful degradation on 7z errors' in a recursive file-property walker.
8,f515602e3c355acd,no-action,garak,paper/corpus/garak-0.16.0/garak/evaluators/base.py,402,CONTRACT,"Bare except around diagnostic print of already-collected messages; affects only console rendering, not results."
9,d963426420707fd0,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_display/textual/widgets/samples.py,103,CONTRACT,Textual `query_one` on a possibly-unmounted widget; `notify_active -> None`.
10,61d38d452543ff31,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_eval/task/store.py,51,CONTRACT,Idempotent cleanup/close of a temp store; swallowing errors in teardown is the contract.
11,ddcb195193d6dd08,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_util/atomic_write.py,230,CONTRACT,"`os.unlink` of a temp file that may not exist, comment says so, and the outer handler re-raises."
12,5ff8f9d08899017c,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_util/file.py,375,CONTRACT,Multi-backend mtime probe; function returns `float | None` and continues to the next probe.
13,e91a57d8ad03150d,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_util/http.py,156,CONTRACT,Retry-After parser; falls through to the explicit `return None` at function end. Return type is `float | None`.
14,36a2c40c32f66669,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/_client_registry.py,136,CONTRACT,`list.remove` ValueError with a two-line comment explaining that the client is already promoted or gone.
15,390cf3ba4907bcb4,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/server.py,398,CONTRACT,Socket close/wait_closed during connection teardown; no caller-visible value.
16,65885337ac950852,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/client.py,642,CONTRACT,Same teardown-close pattern before re-establishing a connection.
17,2dd79e20dda777c0,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/session_screen.py,634,CONTRACT,Textual widget lookup on a timer tick; NoMatches means the widget is absent.
18,b17dad1805bf276b,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_channel/__init__.py,142,CONTRACT,Unbind in a `finally` with `# noqa: BLE001` - author consciously marked the suppress.
19,f297896033627af2,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_human/commands/note.py,32,CONTRACT,`except EOFError: pass` is the documented Ctrl-D terminator of an interactive input loop.
20,a7300809551856dc,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_human/panel.py,82,CONTRACT,NoMatches with comment 'may not exist if we are in ContentSwitcher'; state update only.
21,4950bf19f7a674af,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/log/_recorders/buffer/database.py,1953,CONTRACT,"`rmdir` of a possibly-non-empty parent, comment says 'which is fine'; outer handler logs."
22,57f7851b9f160c60,no-action,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/durable_exec/temporal/__init__.py,57,CONTRACT,Optional `anyio._backends._trio` import probe - standard optional-dependency shape.
23,b90df3fd300fc455,no-action,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/models/_continuation.py,233,CONTRACT,"Best-effort cancel during teardown; function signature is `-> None`, and CancelledError is handled separately and re-raised."
24,331380623b9157eb,no-action,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/ui/vercel_ai/_adapter.py,454,CONTRACT,JSON-parse attempt where a non-JSON `args` string remains a legal value in `args: str | dict | None`.
25,942e670365100445,no-action,smolagents,paper/corpus/smolagents-1.26.0/src/smolagents/agent_types.py,105,CONTRACT,Optional torch/numpy availability probe; the function raises TypeError right after if nothing matched.
26,c3208c0e29592353,no-action,trl,paper/corpus/trl-1.12.0/trl/experimental/async_grpo/async_rollout_worker.py,479,CONTRACT,"Commented best-effort `put_nowait`; the code still sets `_failed_event`, logs, and re-raises."
27,a9b8d8d6678c8f41,no-action,trl,paper/corpus/trl-1.12.0/trl/models/activation_offloading.py,268,CONTRACT,"Comment 'If we can't get data_ptr, skip this check' - a heuristic probe, not a required step."
28,e41563d1bef84f03,no-action,uqlm,paper/corpus/uqlm-0.6.5/uqlm/scorers/baseclass/uncertainty.py,244,CONTRACT,"Comment 'If progress bar fails, just continue without it'; `-> None` presentation concern."
