add_index,rule,repo,file,lineno,label,rationale,function_signature,detector_severity,detector_isomorphism,detector_covered_by_static,new_in_v2_frame,provenance
1,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/_plugins.py,34,CONTRACT,JSONEncoder.default override; inline comment states the contract ('skip items that cannot be serialized at this time') and the handler logs at debug with the exception. Returning None from `default` is the encoder protocol's own 'not serializable' signal.,"def default(self, obj)",low,unknown,,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
2,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/_plugins.py,431,CONTRACT,"load_plugin's ValueError handler branches on the documented `break_on_fail` parameter (docstring lines 403-405): re-raise with a precise message when True, return False when False. The substituted value is the caller's own requested behaviour, not a hidden default.","def load_plugin(path, break_on_fail=True, config_root=_config) -> object",medium,unknown,,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
3,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/detectors/agent_breaker.py,269,CONTRACT,"detect() scores each model output; on an evaluation error it calls logging.exception (full traceback, naming the detector class and target tool) and appends 0.0. WEAKEST of the 60: the declared range List[float|None] admits None, which would have distinguished 'could not evaluate' from 'evaluated safe', and line 260 already overloads 0.0 for missing output. Labelled CONTRACT because the failure is recorded with a traceback and 0.0 is the function's pre-existing sentinel; a second annotator could reasonably call this DEFECT. Recorded as borderline rather than silently resolved.","def detect(self, attempt",medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
4,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/detectors/fileformats.py,97,CONTRACT,"Optional-dependency probe. Logs an actionable install instruction ('try installing libmagic, e.g. brew install libmagic') with exc_info and sets self.magic = None; _test_file at line 105 begins `if self.magic is None`, so every downstream read is guarded.","def _load_deps(self, deps_override=None)",medium,unknown,,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
5,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/detectors/packagehallucination.py,109,CONTRACT,"detect() cannot load its reference package list on a ConnectionError; logs a warning naming the detector and language, then returns []. Deliberate, legible degradation of an optional network dependency, matching the sibling guard at line 106 (`if not self.packages`).","def detect(self, attempt",low,unknown,,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
6,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/generators/huggingface.py,152,CONTRACT,"_call_model logs the error and substitutes raw_output = [], carrying the author's own acknowledgement '# could handle better than this'; line 157 guards with `if raw_output is not None`. Legible and deliberate, so CONTRACT on the original scheme's deliberate-and-legible criterion - not an endorsement of the design, which the author's comment already questions.","def _call_model(self, prompt",medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
7,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/generators/langchain_serve.py,62,CONTRACT,"_validate_uri's docstring says 'Validates the given URI for correctness'; on a parse error it logs the exception and returns False, which is the answer to the question asked. A URI that cannot be parsed is not a valid URI.","@staticmethod
def _validate_uri(uri)",medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
8,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/probes/agent_breaker.py,732,CONTRACT,"_generate_next_attempts logs with logging.exception naming the class and current target, then returns [] meaning 'no further attempts'. The identical shape at line 728 is the function's normal termination, so [] is in-contract.","def _generate_next_attempts(self, last_attempt",medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
9,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/probes/dan.py,134,DEFECT,"🔴 The one DEFECT among the 60 supplementary labels. new_init (the monkey-patched __init__ of the DAN jailbreak-probe family) resolves its payload path inside a try; on GarakException it sets self.prompts = [] with NO log, NO comment and NO re-raise. A DAN probe with an empty prompt list sends nothing to the target model and therefore reports no vulnerability found - the same class as deepteam's is_vulnerable returning False, in the same domain (a red-teaming tool converting its own machinery failure into a clean security conclusion). The decisive evidence is internal to the function: the two sibling failure paths in the same else-branch both record the failure (line 143 logging.warning for a non-array payload, line 148 logging.error for a JSON decode error, both naming prompt_path), so the author demonstrably treated an unloadable payload as worth announcing - and this one path alone is silent. Not covered by any trivial lint rule: GarakException is project-specific (garak/exception.py:5), so E722/B001/W0702 (bare only) and BLE001/W0718 (except Exception only) do not apply; the body is non-empty so S110/B110 do not; the guarded block has no discarded comparison so B015 does not. Verified by running all four tools over the file: no hit anywhere in lines 130-139. 🔴 Scope note required by the V1 adjudication: this coordinate was ALREADY reported by v0.7.0 and v0.8.0, it has a single annotator, and it was found by the layer-3 answer-target gate rather than by the isomorphism criterion - so it is a documented single-case observation, NOT evidence that the refactored predicate has incremental recall.","def new_init(self, config_root=_config)",high,unknown,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
10,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/probes/dan.py,147,CONTRACT,"JSON payload for the DAN probe family fails to parse: logging.error names the offending path and the exception, then self.prompts = []. Directly comparable to dan.py:134, which substitutes the same value on a GarakException WITHOUT logging anything - the asymmetry inside one function is the evidence that :134 is the anomaly and :147 is the contract.","def new_init(self, config_root=_config)",medium,unknown,,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
11,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/probes/dan.py,428,CONTRACT,"AutoDAN generation failure: logging.exception plus a printed user-facing message, then autodan_outputs = None, consumed by the `if autodan_outputs:` guard at line 433. Failure announced on two channels before the fallback is taken.","def probe(self, generator) -> Iterable[garak.attempt.Attempt]",medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
12,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/probes/dra.py,321,CONTRACT,"_check_moderation -> bool. Explicit policy comment '# Fall back: non-cached tokens as not harmful' plus a warning naming the token. A documented fail-open moderation policy - a design choice a reviewer may criticise, but deliberate and legible, so not failure-routing. Line 325 returns False on the no-model path too, so False is already this function's 'no moderation available' answer.","def _check_moderation(self, token) -> bool",medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
13,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/probes/fileformats.py,96,CONTRACT,"Offline mode: logging.warning states 'File enumeration is not available when offline mode is enabled', then returns []. The function's own guard at line 93 handles the no-local-files case identically.","def probe(self, generator) -> Iterable[garak.attempt.Attempt]",low,unknown,,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
