sample_index,rule,repo,file,lineno,label,rationale,function_signature
1,implicit-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/attacks/attack_simulator/attack_simulator.py,301,FALSE_POSITIVE,handler 为 if ignore_errors: return [...] else: raise —— 两分支均终止，无落空。检测器未做穷尽性分析,"def simulate_baseline_attacks(self, attacks_per_vulnerability_type: int, vulnerability: BaseVulnerability, ignore_errors: bool, metadata: Optional[dict]=None) -> List[RTTestCase]"
2,implicit-fallback,fickling,paper/corpus/fickling-0.1.12/fickling/polyglot.py,150,FALSE_POSITIVE,外层 handler 内嵌 try/except，两分支均 return —— 无落空。同一根因,"def check_pickle(file, min_length=0)"
3,implicit-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/model/_providers/grok.py,324,FALSE_POSITIVE,handler 内 if/elif/else 每支均 return 或 raise —— 无落空。同一根因,"async def generate(self, input: list[ChatMessage], tools: list[ToolInfo], tool_choice: ToolChoice, config: GenerateConfig) -> ModelOutput | tuple[ModelOutput | Exception, ModelCall]"
4,implicit-fallback,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/_output.py,388,FALSE_POSITIVE,if wrap_validation_errors: raise ToolRetryError else: raise —— 两分支均 raise。同一根因,"async def execute_output_function(function_schema: _function_schema.FunctionSchema, *, run_context: RunContext[AgentDepsT], args: dict[str, Any], wrap_validation_errors: bool=True) -> Any"
5,masked-exception,garak,paper/corpus/garak-0.16.0/garak/generators/llm.py,91,CONTRACT,条件重抛 ModelError，否则 logging.error 后返回 None；返回类型声明为 Optional[Message]，且已记录日志,"def _call_single(self, text_prompt: str, system_text: Union[str, None], prompt_kwargs: dict) -> Union[Message, None]"
6,no-action,deepteam,paper/corpus/deepteam-1.0.9/deepteam/__init__.py,52,CONTRACT,"check_for_update 版本探测，注释 ""when pypi servers go down""",def check_for_update()
7,no-action,fickling,paper/corpus/fickling-0.1.12/fickling/polyglot.py,315,CONTRACT,"注释 ""Graceful degradation on 7z errors""","def find_file_properties_recursively(file_path, print_properties=False)"
8,no-action,garak,paper/corpus/garak-0.16.0/garak/evaluators/base.py,402,CONTRACT,verbose 模式下的打印，尽力而为的显示层,"def print_results_wide(self, detector_name, passes, evals, messages: Optional[List]=None, ci_lower: Optional[float]=None, ci_upper: Optional[float]=None)"
9,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_display/textual/widgets/samples.py,103,CONTRACT,TUI notify_active，控件未挂载时 query_one 失败,"async def notify_active(self, active: bool) -> None"
10,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_eval/task/store.py,51,CONTRACT,close() 清理，幂等释放,def close(self) -> None
11,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_util/atomic_write.py,230,CONTRACT,"临时文件 unlink，注释 ""Temp file may not exist""，且随后 raise","def atomic_write(target_path: str, fsync: bool=True) -> Iterator[BinaryIO]"
12,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_util/file.py,375,CONTRACT,能力探测：fs.created 失败后回退 fs.modified,"def _determine_mtime(self, file: dict[str, Any]) -> float | None"
13,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_util/http.py,156,CONTRACT,_parse_retry_after_value 返回 float|None，解析失败返回 None 即契约,def _parse_retry_after_value(value: str) -> float | None
14,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/_client_registry.py,136,CONTRACT,"注释明确 ""don't fabricate a ready entry""，且有 else 分支","def notify_attach(self, client: T) -> None"
15,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/server.py,398,CONTRACT,连接拆除时 writer.close 清理,"async def _on_connection(self, reader: asyncio.StreamReader, writer: asyncio.StreamWriter) -> None"
16,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/client.py,642,CONTRACT,重连前关闭陈旧 writer,async def _establish_connection(self) -> None
17,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/session_screen.py,634,CONTRACT,TUI 定时 tick,def _tick(self) -> None
18,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_channel/__init__.py,142,CONTRACT,finally 中 unbind 清理,async def agent_channel() -> AsyncIterator[AgentChannel]
19,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_human/commands/note.py,32,CONTRACT,input() 循环靠 EOFError 终止，随后正常调用,"def cli(self, args: Namespace) -> None"
20,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_human/panel.py,82,CONTRACT,"注释 ""may not exist if we are in ContentSwitcher""","def update_state(self, state: HumanAgentState) -> None"
21,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/log/_recorders/buffer/database.py,1953,CONTRACT,"注释 ""Not empty or other error, which is fine""",def cleanup_sample_buffer_db(path: Path) -> None
22,no-action,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/durable_exec/temporal/__init__.py,57,CONTRACT,可选依赖 import 探测（anyio trio 后端）,
23,no-action,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/models/_continuation.py,233,CONTRACT,取消挂起任务时的尽力清理,"async def cancel_suspended_job(model: Model, response: ModelResponse) -> None"
24,no-action,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/ui/vercel_ai/_adapter.py,454,CONTRACT,JSON 解析失败时保留原始字符串，配合 _is_str_dict 是有意的回退,"def load_messages(cls, messages: Sequence[UIMessage]) -> list[ModelMessage]"
25,no-action,smolagents,paper/corpus/smolagents-1.26.0/src/smolagents/agent_types.py,105,CONTRACT,torch/numpy 可选依赖探测，且最终有 raise TypeError 兜底,"def __init__(self, value)"
26,no-action,trl,paper/corpus/trl-1.12.0/trl/experimental/async_grpo/async_rollout_worker.py,479,CONTRACT,"注释 ""queue full ... best-effort put""，随后 set 事件 + 记录日志 + raise",def run(self) -> None
27,no-action,trl,paper/corpus/trl-1.12.0/trl/models/activation_offloading.py,268,CONTRACT,"注释 ""If we can't get data_ptr, skip this check""",def pack_tensor(activation: torch.Tensor) -> int
28,no-action,uqlm,paper/corpus/uqlm-0.6.5/uqlm/scorers/baseclass/uncertainty.py,244,CONTRACT,"注释 ""If progress bar fails, just continue without it""",def _start_progress_bar(self) -> None
29,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/agentic/hallucination_detection/hallucination_detection.py,48,DEFECT,"metric __init__：model.get_system_prompt() 失败 → system_prompt 静默置 """"，其后全部评分在错误判据下运行，无日志无异常（同族缺陷已由作者上报 deepteam#270）","def __init__(self, purpose: str, model: Optional[Union[str, DeepEvalBaseLLM]]=None, async_mode: bool=True, verbose_mode: bool=False, evaluation_examples: Optional[List[EvaluationExample]]=None, evalua"
30,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/agentic/temporal_assessment/temporal_assessment.py,48,DEFECT,"metric __init__：model.get_system_prompt() 失败 → system_prompt 静默置 """"，其后全部评分在错误判据下运行，无日志无异常（同族缺陷已由作者上报 deepteam#270）","def __init__(self, purpose: str, model: Optional[Union[str, DeepEvalBaseLLM]]=None, async_mode: bool=True, verbose_mode: bool=False, evaluation_examples: Optional[List[EvaluationExample]]=None, evalua"
31,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/cross_context_retrieval/cross_context_retrieval.py,279,DEFECT,is_successful：try 内 self.score == 1 是无副作用的比较表达式，永不抛异常 → except 为死代码，且 self.success 在成功路径上从未被赋值,def is_successful(self) -> bool
32,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/external_system_abuse/external_system_abuse.py,276,DEFECT,is_successful：try 内 self.score == 1 是无副作用的比较表达式，永不抛异常 → except 为死代码，且 self.success 在成功路径上从未被赋值,def is_successful(self) -> bool
33,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/hijacking/hijacking.py,225,DEFECT,is_successful：try 内 self.score == 1 是无副作用的比较表达式，永不抛异常 → except 为死代码，且 self.success 在成功路径上从未被赋值,def is_successful(self) -> bool
34,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/imitation/imitation.py,46,DEFECT,"metric __init__：model.get_system_prompt() 失败 → system_prompt 静默置 """"，其后全部评分在错误判据下运行，无日志无异常（同族缺陷已由作者上报 deepteam#270）","def __init__(self, model: Optional[Union[str, DeepEvalBaseLLM]]=None, async_mode: bool=True, verbose_mode: bool=False, evaluation_examples: Optional[List[EvaluationExample]]=None, evaluation_guideline"
35,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/rbac/rbac.py,47,DEFECT,"metric __init__：model.get_system_prompt() 失败 → system_prompt 静默置 """"，其后全部评分在错误判据下运行，无日志无异常（同族缺陷已由作者上报 deepteam#270）","def __init__(self, purpose: str=None, model: Optional[Union[str, DeepEvalBaseLLM]]=None, async_mode: bool=True, verbose_mode: bool=False, evaluation_examples: Optional[List[EvaluationExample]]=None, e"
36,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/rbac/rbac.py,282,DEFECT,is_successful：try 内 self.score == 1 是无副作用的比较表达式，永不抛异常 → except 为死代码，且 self.success 在成功路径上从未被赋值,def is_successful(self) -> bool
37,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/shell_injection/shell_injection.py,232,DEFECT,is_successful：try 内 self.score == 1 是无副作用的比较表达式，永不抛异常 → except 为死代码，且 self.success 在成功路径上从未被赋值,def is_successful(self) -> bool
38,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/vulnerabilities/hallucination/hallucination.py,376,DEFECT,is_vulnerable：迭代 self.res 失败 → 静默返回 vulnerable=False。红队工具里「不脆弱」是最危险的默认值：失败被转换成一个干净的安全结论,def is_vulnerable(self) -> bool
39,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/vulnerabilities/misinformation/misinformation.py,381,DEFECT,is_vulnerable：迭代 self.res 失败 → 静默返回 vulnerable=False。红队工具里「不脆弱」是最危险的默认值：失败被转换成一个干净的安全结论,def is_vulnerable(self) -> bool
40,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/vulnerabilities/ssrf/ssrf.py,375,DEFECT,is_vulnerable：迭代 self.res 失败 → 静默返回 vulnerable=False。红队工具里「不脆弱」是最危险的默认值：失败被转换成一个干净的安全结论,def is_vulnerable(self) -> bool
41,silent-fallback,fickling,paper/corpus/fickling-0.1.12/fickling/polyglot.py,334,CONTRACT,格式探测函数，解析失败返回 False 即语义,def check_if_legacy_format(file)
42,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/analyze/rebuild_cis.py,160,CONTRACT,CLI 错误处理：打印错误并返回非零退出码,"def rebuild_cis_for_report(report_path: str, output_path: Optional[str]=None, overwrite: bool=False) -> int"
43,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_cli/ctl/_sample_read.py,820,CONTRACT,谓词函数 -> bool，解析失败返回 False,def _looks_like_timestamp(value: str) -> bool
44,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_control/discovery.py,88,CONTRACT,缺失/畸形 api_version 默认 0（未知/legacy 哨兵）,def list_discovered_servers() -> list[DiscoveredControlServer]
45,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_display/textual/app.py,457,CONTRACT,返回类型声明 InputPanel|None,"def get_input_panel(self, panel_type: type) -> InputPanel | None"
46,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_eval/evalset.py,900,CONTRACT,completed_at: float|None,def _register_reused_logs(success_logs: list[Log]) -> None
